C2LoUyrEktj1EsTz17rdknoFIKBS    I35Pq2kftl3 Weighting value: {'letters': 31, 'digits': 8, 'space': 4, 'other': 0}
Jh2bPrsz8Qsv     A65jasldx   JUZE   545gH Weighting value: {'letters': 23, 'digits': 7, 'space': 11, 'other': 0}
eAnsw3B    fUoJa6xpJiqHaoyzC7nhzIHnCznyHFUWgF Weighting value: {'letters': 38, 'digits': 3, 'space': 4, 'other': 0}
XUPR   F2VLNwjbIxQyuBiahGelGV09HBKDJki Weighting value: {'letters': 32, 'digits': 3, 'space': 3, 'other': 0}
iXEJoHaYvyyH8n55XPPzWthGw9aAWFj8tWXM5G Weighting value: {'letters': 32, 'digits': 6, 'space': 0, 'other': 0}
j20zFhOHLwIX026   E Weighting value: {'letters': 11, 'digits': 5, 'space': 3, 'other': 0}
Os1MdTz0ACeSTsORBuKsfIVjn4zmpOM Weighting value: {'letters': 28, 'digits': 3, 'space': 0, 'other': 0}
jwNx1ew1   EB Weighting value: {'letters': 8, 'digits': 2, 'space': 3, 'other': 0}
47yslg5y1hQ1pj46V0ntJGs4     YZoAR Weighting value: {'letters': 20, 'digits': 9, 'space': 5, 'other': 0}
Pho7rKjVTEho1P Weighting value: {'letters': 12, 'digits': 2, 'space': 0, 'other': 0}
JgIh8B   GJ30 Weighting value: {'letters': 7, 'digits': 3, 'space': 3, 'other': 0}
i9hR8F4KET0fSZI    McRk2zHrO     kQ4 Weighting value: {'letters': 21, 'digits': 6, 'space': 9, 'other': 0}
1X5n45zj7YErWTj     elQDdScJPNquIRzaDb1SZVw9C Weighting value: {'letters': 33, 'digits': 7, 'space': 5, 'other': 0}
DbH1xmvcAgYIy1GueDq4a   HzM8Kunxn6    O Weighting value: {'letters': 27, 'digits': 5, 'space': 7, 'other': 0}
F5GU    hbkvsHtyWZtfwTo   53vcPUdR2zYMBXGA Weighting value: {'letters': 31, 'digits': 4, 'space': 7, 'other': 0}
YkK6aBU3gNWy1    eGAUX Weighting value: {'letters': 15, 'digits': 3, 'space': 4, 'other': 0}
0rpKXNYVWRiI0imf4ZDXMQcv2imoOhiShw7gRiQJO8z Weighting value: {'letters': 37, 'digits': 6, 'space': 0, 'other': 0}
gOZl6wqDgiKYWeOILvcc3mKhjYdHgyy7Of0MdTWQWMQ Weighting value: {'letters': 39, 'digits': 4, 'space': 0, 'other': 0}
NtTrlFhu2snZFPSiRxEzRf87fy3GF5jCGve Weighting value: {'letters': 30, 'digits': 5, 'space': 0, 'other': 0}
RF4TbNv2lVtlkmYCKl6 Weighting value: {'letters': 16, 'digits': 3, 'space': 0, 'other': 0}
xob0Ev1PfCYKTSWR Weighting value: {'letters': 14, 'digits': 2, 'space': 0, 'other': 0}
qmC25m9ql42F2xJ Weighting value: {'letters': 9, 'digits': 6, 'space': 0, 'other': 0}
VtaviCTzz5 Weighting value: {'letters': 9, 'digits': 1, 'space': 0, 'other': 0}
yAY5O2BJpfaWu6NE02     9nYuRTL   JY4lW Weighting value: {'letters': 23, 'digits': 7, 'space': 8, 'other': 0}
i5zV27y3O5qN328zenJHaGc Weighting value: {'letters': 15, 'digits': 8, 'space': 0, 'other': 0}
x5VMKL     3PEH5Bf  Q Weighting value: {'letters': 11, 'digits': 3, 'space': 7, 'other': 0}
DomLnmbKt2dlldZK15ShGYeHvSq05yy8q0oqka0BzM Weighting value: {'letters': 34, 'digits': 8, 'space': 0, 'other': 0}
sY3gBnW3HG     2XYchzWBGrsEMDZQ3JPI1 Weighting value: {'letters': 26, 'digits': 5, 'space': 5, 'other': 0}
ZpQjnuz    aInG Weighting value: {'letters': 11, 'digits': 0, 'space': 4, 'other': 0}
uABir12H9cyL3mmytAUHnwM2oku1mTm3dhlMzK4xjM24 Weighting value: {'letters': 34, 'digits': 10, 'space': 0, 'other': 0}
AvLFcO3eQXfhCQxMO   u6ABMTFvzA9f7N0 Weighting value: {'letters': 27, 'digits': 5, 'space': 3, 'other': 0}
e6xGSITlav9QzSHylIVBE7T7ylCh2S4dUUwpgupGXMCnp Weighting value: {'letters': 39, 'digits': 6, 'space': 0, 'other': 0}
2Fk4BCVX   pXqw0Ko    vI4C1uxBYrLMX Weighting value: {'letters': 23, 'digits': 5, 'space': 7, 'other': 0}
Vs7iT4IP3nFWsq7csiR     RZ1ECOT    B Weighting value: {'letters': 22, 'digits': 5, 'space': 9, 'other': 0}
vX7m    fJdo     eIJeaIcj21EkGspG Weighting value: {'letters': 21, 'digits': 3, 'space': 9, 'other': 0}
F3wOrhyVxQBo0jA65E     I6MP3fcFzaJPzFVEgM   K Weighting value: {'letters': 31, 'digits': 6, 'space': 8, 'other': 0}
G3DhtEh8hxprRvyMCxdNR5bATm Weighting value: {'letters': 23, 'digits': 3, 'space': 0, 'other': 0}
di9EPMbnJoaBAcowpB   M   UcXtYunLZL8AJ5OCMHDV Weighting value: {'letters': 36, 'digits': 3, 'space': 6, 'other': 0}
O7a     pRLbPwZ2OpSkxpNUoL4xZ5hivL Weighting value: {'letters': 25, 'digits': 4, 'space': 5, 'other': 0}
OfsuQTE    Q06ZZr   lAz     obwGpO2ySk5i0OZDr Weighting value: {'letters': 28, 'digits': 5, 'space': 12, 'other': 0}
FYO9yK    CEPnau6Q7Yn Weighting value: {'letters': 14, 'digits': 3, 'space': 4, 'other': 0}
B34k3cdRdV   rR97J9Pf Weighting value: {'letters': 12, 'digits': 6, 'space': 3, 'other': 0}
i54q8w     A0cxZDUM Weighting value: {'letters': 10, 'digits': 4, 'space': 5, 'other': 0}
k5lcI7hpoKJnLI8MoOzhzM9SfJA09GvgTx0Z Weighting value: {'letters': 29, 'digits': 7, 'space': 0, 'other': 0}
R5XZCpq1OOh7g     KZya3Hz7YLkAuEI     HjYYpqb Weighting value: {'letters': 30, 'digits': 5, 'space': 10, 'other': 0}
HG5    OI25rR6IHJ2T0t6 Weighting value: {'letters': 11, 'digits': 7, 'space': 4, 'other': 0}
RBe4f4NbNohUYmSa2tfPoSr6   BCohTGf861 Weighting value: {'letters': 27, 'digits': 7, 'space': 3, 'other': 0}
aPe     4CWGeNn9S    a    aWuS9z Weighting value: {'letters': 16, 'digits': 3, 'space': 13, 'other': 0}
knInFmFP     F    RpREa7Ti0lnf Weighting value: {'letters': 19, 'digits': 2, 'space': 9, 'other': 0}
EC31tbC7   wW27 Weighting value: {'letters': 7, 'digits': 5, 'space': 3, 'other': 0}
41VtyyqNJ9M47zuSxa   4 Weighting value: {'letters': 13, 'digits': 6, 'space': 3, 'other': 0}
It1ioapcoLdtpz0FofsmH Weighting value: {'letters': 19, 'digits': 2, 'space': 0, 'other': 0}
ikE69GIpDcV84trWUcLt3W2fGhLVZ6pIKFy1t Weighting value: {'letters': 29, 'digits': 8, 'space': 0, 'other': 0}
MNuH6202I11koazX84i5cny8z7rHZX5 Weighting value: {'letters': 19, 'digits': 12, 'space': 0, 'other': 0}
nAD7It99UzCYoGPFhC7     eM     c     O Weighting value: {'letters': 19, 'digits': 4, 'space': 15, 'other': 0}
6V7ftRQDmn7Vb7 Weighting value: {'letters': 10, 'digits': 4, 'space': 0, 'other': 0}
sBbMLNWVV7aOrvNTz3IlUD97DBEPPyJ     risaJBCY Weighting value: {'letters': 35, 'digits': 4, 'space': 5, 'other': 0}
NwxJwDOGfPdvpnN1dTtooo0JtWdbKMtp4ZTMQ0oI Weighting value: {'letters': 36, 'digits': 4, 'space': 0, 'other': 0}
zAc99p3OlzIutDsDab8FZxFx Weighting value: {'letters': 20, 'digits': 4, 'space': 0, 'other': 0}
zxoE41BLcCG4pjxKM3KzQX     NicDl1EvltFZr6cuGs Weighting value: {'letters': 34, 'digits': 6, 'space': 5, 'other': 0}
jK8J   dWW6ill4RUyFFnu    z9yh5hdDTRpQ Weighting value: {'letters': 26, 'digits': 5, 'space': 7, 'other': 0}
tT62bufKpxOZ6B     v    0 Weighting value: {'letters': 12, 'digits': 4, 'space': 9, 'other': 0}
M5ibhHxWlqjuUHcK4ztHnd8ljzVvI1E11yU     4V Weighting value: {'letters': 30, 'digits': 7, 'space': 5, 'other': 0}
EvM2BKpwil5QigqffRLd5xqwoUjm    HXq    3B0lFd Weighting value: {'letters': 32, 'digits': 5, 'space': 8, 'other': 0}
pyULK63    KAmzFkkw1u6SWRiDabJrm1UUa06GP9WGSD Weighting value: {'letters': 33, 'digits': 8, 'space': 4, 'other': 0}
1mTGajsafjCIwtECnGXPTcMbvJ8pZrTye93wCO Weighting value: {'letters': 34, 'digits': 4, 'space': 0, 'other': 0}
nZQWCFPTIi25337O6Q33OncecaoFuKaPmijbYh8W Weighting value: {'letters': 31, 'digits': 9, 'space': 0, 'other': 0}
r9NtUR4R4og    cNTrWTBrFjJHkUlmF Weighting value: {'letters': 25, 'digits': 3, 'space': 4, 'other': 0}
5nLFK3ozANmAu5hoFbkzwZw2bI7 Weighting value: {'letters': 22, 'digits': 5, 'space': 0, 'other': 0}

